BaitID	TaxID	TargetRegion	RegionPositon	GeneCluster	ClusterPosition
Bait00001	694001	Reg02929	10205	1a_0032	4136
Bait00002	694001	Reg02929	10206	1a_0032	4137
Bait00003	694001	Reg02929	10207	1a_0032	4138
Bait00004	694001	Reg02929	10208	1a_0032	4139
Bait00005	TXID30106887	Reg03633	17225	1a_0026	11258
Bait00006	TXID30106887	Reg03633	17231	1a_0026	11264
Bait00007	TXID30106887	Reg03633	17237	1a_0026	11270
Bait00008	TXID30106887	Reg03633	17243	1a_0026	11276
Bait00009	TXID30106887	Reg03633	17249	1a_0026	11282
Bait00010	1590370	Reg01058	10278	1a_0012	4089
Bait00011	1590370	Reg01058	10282	1a_0012	4093
Bait00012	1590370	Reg01058	10286	1a_0012	4097
Bait00013	1590370	Reg01058	10290	1a_0012	4101
Bait00014	1590370	Reg01058	10294	1a_0012	4105
Bait00015	1590370	Reg01058	10298	1a_0012	4109
Bait00016	1590370	Reg01058	10302	1a_0012	4113
Bait00017	1590370	Reg01058	10306	1a_0012	4117
Bait00018	2509512	Reg02513	6214	1a_0027	5520
Bait00019	2509512	Reg02424	847	1a_0027	153
Bait00020	2509512	Reg02424	849	1a_0027	155
Bait00021	2509512	Reg02424	851	1a_0027	157
Bait00022	2509512	Reg02424	853	1a_0027	159
Bait00023	2509512	Reg02424	855	1a_0027	161
Bait00024	1159908	Reg00310	9722	S_0030	101
Bait00025	2509502	Reg02108	1927	rep_0008	1927
Bait00026	2509502	Reg02108	1928	rep_0008	1928
Bait00027	2509502	Reg02108	1929	rep_0008	1929
Bait00028	2509502	Reg02108	1930	rep_0008	1930
Bait00029	2509502	Reg02108	1931	rep_0008	1931
Bait00030	693999	Reg02790	6324	1a_0035	345
Bait00031	1503289	Reg00639	17040	1a_0028	10238
Bait00032	1503289	Reg00639	17042	1a_0028	10240
Bait00033	1503289	Reg00639	17044	1a_0028	10242
Bait00034	1503289	Reg00639	17046	1a_0028	10244
Bait00035	1503289	Reg00639	17048	1a_0028	10246
Bait00036	1503289	Reg00639	17050	1a_0028	10248
Bait00037	1503289	Reg00639	17052	1a_0028	10250
Bait00038	1503289	Reg00639	17054	1a_0028	10252
Bait00039	1159907	Reg00251	3935	1a_0005	424
Bait00040	1159907	Reg00251	3936	1a_0005	425
Bait00041	1159907	Reg00251	3937	1a_0005	426
Bait00042	1159907	Reg00251	3938	1a_0005	427
