BaitID	Domain	Level	Target	RegionOffset	BaitOffset	Tm	Gene	GeneOffset	Method	Source
VG001-001-1	Virus	Genus	Hepadnaviridae	1084	0	86.82	gag-pro-pol	1083	Pseudo-Organism	Target
VG001-001-2	Virus	Genus	Hepadnaviridae	1084	5	86.82	gag-pro-pol	1088	Pseudo-Organism	Target
VG001-001-3	Virus	Genus	Hepadnaviridae	1084	10	86.82	gag-pro-pol	1093	Pseudo-Organism	Target
VG001-001-4	Virus	Genus	Hepadnaviridae	1084	15	86.82	gag-pro-pol	1098	Pseudo-Organism	Target
VG001-001-5	Virus	Genus	Hepadnaviridae	1084	20	86.82	gag-pro-pol	1103	Pseudo-Organism	Target
VG001-002-1	Virus	Genus	Hepadnaviridae	902	0	84.60	gag-pro-pol	901	Pseudo-Organism	Target
VG001-002-2	Virus	Genus	Hepadnaviridae	902	5	84.60	gag-pro-pol	906	Pseudo-Organism	Target
VG001-002-3	Virus	Genus	Hepadnaviridae	902	10	84.60	gag-pro-pol	911	Pseudo-Organism	Target
VG001-002-4	Virus	Genus	Hepadnaviridae	902	15	84.60	gag-pro-pol	916	Pseudo-Organism	Target
VG001-002-5	Virus	Genus	Hepadnaviridae	902	20	84.60	gag-pro-pol	921	Pseudo-Organism	Target
VG001-003-1	Virus	Genus	Hepadnaviridae	279	0	81.09	gag-pro-pol	278	Pseudo-Organism	Target
VG001-003-2	Virus	Genus	Hepadnaviridae	279	5	81.09	gag-pro-pol	283	Pseudo-Organism	Target
VG001-003-3	Virus	Genus	Hepadnaviridae	279	10	81.09	gag-pro-pol	288	Pseudo-Organism	Target
VG001-003-4	Virus	Genus	Hepadnaviridae	279	15	81.09	gag-pro-pol	293	Pseudo-Organism	Target
VG001-003-5	Virus	Genus	Hepadnaviridae	279	20	81.09	gag-pro-pol	298	Pseudo-Organism	Target
VG001-004-1	Virus	Genus	Hepadnaviridae	175	0	80.12	gag-pro-pol	174	Pseudo-Organism	Target
VG001-004-2	Virus	Genus	Hepadnaviridae	175	5	80.12	gag-pro-pol	179	Pseudo-Organism	Target
VG001-004-3	Virus	Genus	Hepadnaviridae	175	10	80.12	gag-pro-pol	184	Pseudo-Organism	Target
VG001-004-4	Virus	Genus	Hepadnaviridae	175	15	80.12	gag-pro-pol	189	Pseudo-Organism	Target
VG001-004-5	Virus	Genus	Hepadnaviridae	175	20	80.12	gag-pro-pol	194	Pseudo-Organism	Target
VG001-005-1	Virus	Genus	Hepadnaviridae	1419	0	80.50	C	88	Pseudo-Organism	Target
VG001-005-2	Virus	Genus	Hepadnaviridae	1419	5	80.50	C	93	Pseudo-Organism	Target
VG001-005-3	Virus	Genus	Hepadnaviridae	1419	10	80.50	C	98	Pseudo-Organism	Target
VG001-005-4	Virus	Genus	Hepadnaviridae	1419	15	80.50	C	103	Pseudo-Organism	Target
VG001-005-5	Virus	Genus	Hepadnaviridae	1419	20	80.50	C	108	Pseudo-Organism	Target
VG001-006-1	Virus	Genus	Hepadnaviridae	1111	0	87.18	gag-pro-pol	1110	Pseudo-Organism	Target
VG001-006-2	Virus	Genus	Hepadnaviridae	1111	5	87.18	gag-pro-pol	1115	Pseudo-Organism	Target
VG001-006-3	Virus	Genus	Hepadnaviridae	1111	10	87.18	gag-pro-pol	1120	Pseudo-Organism	Target
VG001-006-4	Virus	Genus	Hepadnaviridae	1111	15	87.18	gag-pro-pol	1125	Pseudo-Organism	Target
VG001-006-5	Virus	Genus	Hepadnaviridae	1111	20	87.18	gag-pro-pol	1130	Pseudo-Organism	Target
VG001-007-1	Virus	Genus	Hepadnaviridae	1192	0	87.10	gag-pro-pol	1191	Pseudo-Organism	Target
VG001-007-2	Virus	Genus	Hepadnaviridae	1192	5	87.10	gag-pro-pol	1196	Pseudo-Organism	Target
VG001-007-3	Virus	Genus	Hepadnaviridae	1192	10	87.10	gag-pro-pol	1201	Pseudo-Organism	Target
VS002-001-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	23613	0	81.00	MCP	2973	Pseudo-Organism	Target
VS002-001-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	23613	5	81.00	MCP	2978	Pseudo-Organism	Target
VS002-001-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	23613	10	81.00	MCP	2983	Pseudo-Organism	Target
VS002-001-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	23613	15	81.00	MCP	2988	Pseudo-Organism	Target
VS002-001-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	23613	20	81.00	MCP	2993	Pseudo-Organism	Target
VS002-002-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	23477	0	77.82	MCP	2837	Pseudo-Organism	Target
VS002-003-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22989	0	81.66	MCP	2349	Pseudo-Organism	Target
VS002-003-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22989	5	81.66	MCP	2354	Pseudo-Organism	Target
VS002-003-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22989	10	81.66	MCP	2359	Pseudo-Organism	Target
VS002-003-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22989	15	81.66	MCP	2364	Pseudo-Organism	Target
VS002-003-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22989	20	81.66	MCP	2369	Pseudo-Organism	Target
VS002-004-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22937	0	82.10	MCP	2297	Pseudo-Organism	Target
VS002-004-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22937	5	82.10	MCP	2302	Pseudo-Organism	Target
VS002-004-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22937	10	82.10	MCP	2307	Pseudo-Organism	Target
VS002-004-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22937	15	82.10	MCP	2312	Pseudo-Organism	Target
VS002-004-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22937	20	82.10	MCP	2317	Pseudo-Organism	Target
VS002-005-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22911	0	83.34	MCP	2271	Pseudo-Organism	Target
VS002-005-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22911	5	83.34	MCP	2276	Pseudo-Organism	Target
VS002-005-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22911	10	83.34	MCP	2281	Pseudo-Organism	Target
VS002-005-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22911	15	83.34	MCP	2286	Pseudo-Organism	Target
VS002-005-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22911	20	83.34	MCP	2291	Pseudo-Organism	Target
VS002-006-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22729	0	72.55	MCP	2089	Pseudo-Organism	Target
VS002-006-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22729	5	72.55	MCP	2094	Pseudo-Organism	Target
VS002-006-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22729	10	72.55	MCP	2099	Pseudo-Organism	Target
VS002-006-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22729	15	72.55	MCP	2104	Pseudo-Organism	Target
VS002-006-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22729	20	72.55	MCP	2109	Pseudo-Organism	Target
VS002-007-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	29236	0	79.79	gE	1861	Pseudo-Organism	Target
VS002-007-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	29236	5	79.79	gE	1866	Pseudo-Organism	Target
VS002-007-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	29236	10	79.79	gE	1871	Pseudo-Organism	Target
VS002-007-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	29236	15	79.79	gE	1876	Pseudo-Organism	Target
VS002-007-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	29236	20	79.79	gE	1881	Pseudo-Organism	Target
VS002-008-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11945	0	77.40	DBP	1797	Pseudo-Organism	Target
VS002-008-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11945	5	77.40	DBP	1802	Pseudo-Organism	Target
VS002-008-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11945	10	77.40	DBP	1807	Pseudo-Organism	Target
VS002-008-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11945	15	77.40	DBP	1812	Pseudo-Organism	Target
VS002-008-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11945	20	77.40	DBP	1817	Pseudo-Organism	Target
VS002-009-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	29028	0	81.22	gE	1653	Pseudo-Organism	Target
VS002-009-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	29028	5	81.22	gE	1658	Pseudo-Organism	Target
VS002-009-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	29028	10	81.22	gE	1663	Pseudo-Organism	Target
VS002-009-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	29028	15	81.22	gE	1668	Pseudo-Organism	Target
VS002-009-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	29028	20	81.22	gE	1673	Pseudo-Organism	Target
VS002-010-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11789	0	79.06	DBP	1641	Pseudo-Organism	Target
VS002-010-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11789	5	79.06	DBP	1646	Pseudo-Organism	Target
VS002-010-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11789	10	79.06	DBP	1651	Pseudo-Organism	Target
VS002-010-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11789	15	79.06	DBP	1656	Pseudo-Organism	Target
VS002-010-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11789	20	79.06	DBP	1661	Pseudo-Organism	Target
VS002-011-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22365	0	80.39	MCP	1725	Pseudo-Organism	Target
VS002-011-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22365	5	80.39	MCP	1730	Pseudo-Organism	Target
VS002-011-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22365	10	80.39	MCP	1735	Pseudo-Organism	Target
VS002-011-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22365	15	80.39	MCP	1740	Pseudo-Organism	Target
VS002-011-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22365	20	80.39	MCP	1745	Pseudo-Organism	Target
VS002-012-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22339	0	83.94	MCP	1699	Pseudo-Organism	Target
VS002-012-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22339	5	83.94	MCP	1704	Pseudo-Organism	Target
VS002-012-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22339	10	83.94	MCP	1709	Pseudo-Organism	Target
VS002-012-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22339	15	83.94	MCP	1714	Pseudo-Organism	Target
VS002-012-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22339	20	83.94	MCP	1719	Pseudo-Organism	Target
VS002-013-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22313	0	85.43	MCP	1673	Pseudo-Organism	Target
VS002-013-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22313	5	85.43	MCP	1678	Pseudo-Organism	Target
VS002-013-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22313	10	85.43	MCP	1683	Pseudo-Organism	Target
VS002-013-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22313	15	85.43	MCP	1688	Pseudo-Organism	Target
VS002-013-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	22313	20	85.43	MCP	1693	Pseudo-Organism	Target
VS002-014-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11659	0	81.75	DBP	1511	Pseudo-Organism	Target
VS002-014-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11659	5	81.75	DBP	1516	Pseudo-Organism	Target
VS002-014-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11659	10	81.75	DBP	1521	Pseudo-Organism	Target
VS002-014-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11659	15	81.75	DBP	1526	Pseudo-Organism	Target
VS002-014-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11659	20	81.75	DBP	1531	Pseudo-Organism	Target
VS002-015-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11633	1	80.87	DBP	1486	Pseudo-Organism	Target
VS002-015-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11633	6	80.87	DBP	1491	Pseudo-Organism	Target
VS002-015-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11633	11	80.87	DBP	1496	Pseudo-Organism	Target
VS002-015-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11633	16	80.87	DBP	1501	Pseudo-Organism	Target
VS002-016-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11581	1	75.48	DBP	1434	Pseudo-Organism	Target
VS002-017-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28794	0	77.40	gE	1419	Pseudo-Organism	Target
VS002-017-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28794	5	77.40	gE	1424	Pseudo-Organism	Target
VS002-017-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28794	10	77.40	gE	1429	Pseudo-Organism	Target
VS002-017-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28794	15	77.40	gE	1434	Pseudo-Organism	Target
VS002-017-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28794	20	77.40	gE	1439	Pseudo-Organism	Target
VS002-018-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	20436	0	80.89	UL6	2107	Pseudo-Organism	Target
VS002-018-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	20436	5	80.89	UL6	2112	Pseudo-Organism	Target
VS002-018-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	20436	10	80.89	UL6	2117	Pseudo-Organism	Target
VS002-018-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	20436	15	80.89	UL6	2122	Pseudo-Organism	Target
VS002-018-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	20436	20	80.89	UL6	2127	Pseudo-Organism	Target
VS002-019-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	4541	0	78.71	CVC1	1256	Pseudo-Organism	Target
VS002-019-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	4541	5	78.71	CVC1	1261	Pseudo-Organism	Target
VS002-019-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	4541	10	78.71	CVC1	1266	Pseudo-Organism	Target
VS002-019-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	4541	15	78.71	CVC1	1271	Pseudo-Organism	Target
VS002-019-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	4541	20	78.71	CVC1	1276	Pseudo-Organism	Target
VS002-020-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11321	0	80.67	DBP	1173	Pseudo-Organism	Target
VS002-020-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11321	5	80.67	DBP	1178	Pseudo-Organism	Target
VS002-020-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11321	10	80.67	DBP	1183	Pseudo-Organism	Target
VS002-020-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11321	15	80.67	DBP	1188	Pseudo-Organism	Target
VS002-020-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11321	20	80.67	DBP	1193	Pseudo-Organism	Target
VS002-021-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28456	0	78.47	gE	1081	Pseudo-Organism	Target
VS002-021-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28456	5	78.47	gE	1086	Pseudo-Organism	Target
VS002-021-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28456	10	78.47	gE	1091	Pseudo-Organism	Target
VS002-021-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28456	15	78.47	gE	1096	Pseudo-Organism	Target
VS002-021-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28456	20	78.47	gE	1101	Pseudo-Organism	Target
VS002-022-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7666	0	80.37	gH	2349	Pseudo-Organism	Target
VS002-022-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7666	5	80.37	gH	2354	Pseudo-Organism	Target
VS002-022-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7666	10	80.37	gH	2359	Pseudo-Organism	Target
VS002-022-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7666	15	80.37	gH	2364	Pseudo-Organism	Target
VS002-022-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7666	20	80.37	gH	2369	Pseudo-Organism	Target
VS002-023-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28430	0	79.39	gE	1055	Pseudo-Organism	Target
VS002-023-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28430	5	79.39	gE	1060	Pseudo-Organism	Target
VS002-023-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28430	10	79.39	gE	1065	Pseudo-Organism	Target
VS002-023-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28430	15	79.39	gE	1070	Pseudo-Organism	Target
VS002-023-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28430	20	79.39	gE	1075	Pseudo-Organism	Target
VS002-024-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	4307	0	80.69	CVC1	1022	Pseudo-Organism	Target
VS002-024-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	4307	5	80.69	CVC1	1027	Pseudo-Organism	Target
VS002-024-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	4307	10	80.69	CVC1	1032	Pseudo-Organism	Target
VS002-024-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	4307	15	80.69	CVC1	1037	Pseudo-Organism	Target
VS002-024-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	4307	20	80.69	CVC1	1042	Pseudo-Organism	Target
VS002-025-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	6305	0	80.39	gH	988	Pseudo-Organism	Target
VS002-025-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	6305	5	80.39	gH	993	Pseudo-Organism	Target
VS002-025-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	6305	10	80.39	gH	998	Pseudo-Organism	Target
VS002-025-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	6305	15	80.39	gH	1003	Pseudo-Organism	Target
VS002-025-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	6305	20	80.39	gH	1008	Pseudo-Organism	Target
VS002-026-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	1782	0	77.36	UL8	1781	Pseudo-Organism	Target
VS002-026-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	1782	5	77.36	UL8	1786	Pseudo-Organism	Target
VS002-026-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	1782	10	77.36	UL8	1791	Pseudo-Organism	Target
VS002-026-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	1782	15	77.36	UL8	1796	Pseudo-Organism	Target
VS002-026-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	1782	20	77.36	UL8	1801	Pseudo-Organism	Target
VS002-027-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	11113	1	76.95	DBP	966	Pseudo-Organism	Target
